Datum_eerste_afgifte_Nederland,Benzine,Diesel,Hybride,Niet-Elektrisch,Elektriciteit
10/30/1978,68134,2525,,70659,
10/31/1978,68148,2527,,70675,
11/1/1978,68171,2528,,70699,
11/2/1978,68194,2533,,70727,
11/3/1978,68233,2537,,70770,
11/4/1978,68238,,,68238,
11/6/1978,68250,,,68250,
11/7/1978,68269,2538,,70807,
11/8/1978,68292,2540,,70832,
11/9/1978,68312,2541,,70853,
11/10/1978,68349,2543,,70892,
11/11/1978,68352,,,68352,
11/13/1978,68362,2545,,70907,
11/14/1978,68371,2546,,70917,
11/15/1978,68388,2551,,70939,
11/16/1978,68405,2554,,70959,
11/17/1978,68435,,,68435,
11/18/1978,68439,,,68439,
11/20/1978,68450,,,68450,
11/21/1978,68468,2557,,71025,
11/22/1978,68486,,,68486,
11/23/1978,68497,2560,,71057,
11/24/1978,68528,2563,,71091,
11/25/1978,68529,,,68529,
11/27/1978,68536,2564,,71100,
11/28/1978,68547,2566,,71113,
11/29/1978,68555,,,68555,
11/30/1978,68570,2571,,71141,
12/1/1978,68601,2575,,71176,
12/2/1978,68602,,,68602,
12/4/1978,68607,,,68607,
12/5/1978,68615,,,68615,
12/6/1978,68628,2579,,71207,
12/7/1978,68649,2580,,71229,
12/8/1978,68666,,,68666,
12/9/1978,68668,,,68668,
12/11/1978,68682,,,68682,
12/12/1978,68696,2582,,71278,
12/13/1978,68710,,,68710,
12/14/1978,68725,2585,,71310,
12/15/1978,68740,,,68740,
12/16/1978,68743,,,68743,
12/18/1978,68751,2586,,71337,
12/19/1978,68760,2588,,71348,
12/20/1978,68765,2589,,71354,
12/21/1978,68774,2592,,71366,
12/22/1978,68783,2593,,71376,
12/23/1978,68784,,,68784,
12/27/1978,68786,,,68786,
12/28/1978,68792,,,68792,
12/29/1978,68799,2594,,71393,
1/2/1979,68944,2604,,71548,
1/3/1979,68979,2606,,71585,
1/4/1979,69007,2609,,71616,
1/5/1979,69045,2612,,71657,
1/6/1979,69048,2613,,71661,
1/8/1979,69061,2617,,71678,
1/9/1979,69081,2619,,71700,
1/10/1979,69098,2620,,71718,
1/11/1979,69129,2623,,71752,
1/12/1979,69168,2624,,71792,
1/13/1979,69171,,,69171,
1/15/1979,69190,2625,,71815,
1/16/1979,69215,2629,,71844,
1/17/1979,69237,,,69237,
1/18/1979,69269,,,69269,
1/19/1979,69307,2630,,71937,
1/20/1979,69316,2631,,71947,
1/22/1979,69333,2633,,71966,
1/23/1979,69341,2634,,71975,
1/24/1979,69355,2635,,71990,
1/25/1979,69381,2637,,72018,
1/26/1979,69412,,,69412,
1/27/1979,69415,,,69415,
1/29/1979,69433,,,69433,
1/30/1979,69461,,,69461,
1/31/1979,69488,2645,,72133,
2/1/1979,69519,2647,,72166,
2/2/1979,69551,2654,,72205,
2/3/1979,69553,,,69553,
2/5/1979,69575,,,69575,
